Variable	p_Enrich	p_Deplete	Inversion	p.Adj
IAA	0.2832	0.7168	Petpet_17_03	0.840924574209246
BRA	0.2782	0.7218	Petpet_17_03	0.840924574209246
stri	0.2105	0.7895	Petpet_17_03	0.840924574209246
SA	0.2709	0.7291	Petpet_17_03	0.840924574209246
Peg	0.2204	0.7796	Petpet_17_03	0.840924574209246
NaCL	0.2597	0.7403	Petpet_17_03	0.840924574209246
Meja	0.2832	0.7168	Petpet_17_03	0.840924574209246
Kin	0.2113	0.7887	Petpet_17_03	0.840924574209246
GA3	0.253	0.747	Petpet_17_03	0.840924574209246
ACC	0.2664	0.7336	Petpet_17_03	0.840924574209246
ABA	0.2441	0.7559	Petpet_17_03	0.840924574209246
IAA	0.6022	0.3978	Petpet_17_02	0.840924574209246
BRA	0.583	0.417	Petpet_17_02	0.840924574209246
stri	0.5412	0.4588	Petpet_17_02	0.840924574209246
SA	0.6134	0.3866	Petpet_17_02	0.840924574209246
Peg	0.5594	0.4406	Petpet_17_02	0.840924574209246
NaCL	0.5789	0.4211	Petpet_17_02	0.840924574209246
Meja	0.5873	0.4127	Petpet_17_02	0.840924574209246
Kin	0.5678	0.4322	Petpet_17_02	0.840924574209246
GA3	0.6186	0.3814	Petpet_17_02	0.840924574209246
ACC	0.59025902590259	0.40974097409741	Petpet_17_02	0.840924574209246
ABA	0.5707	0.4293	Petpet_17_02	0.840924574209246
IAA	0.2588	0.7412	Petpet_17_01	0.840924574209246
BRA	0.3367	0.6633	Petpet_17_01	0.840924574209246
stri	0.3252	0.6748	Petpet_17_01	0.840924574209246
SA	0.3098	0.6902	Petpet_17_01	0.840924574209246
Peg	0.2981	0.7019	Petpet_17_01	0.840924574209246
NaCL	0.3204	0.6796	Petpet_17_01	0.840924574209246
Meja	0.3486	0.6514	Petpet_17_01	0.840924574209246
Kin	0.3624	0.6376	Petpet_17_01	0.840924574209246
GA3	0.3354	0.6646	Petpet_17_01	0.840924574209246
ACC	0.312	0.688	Petpet_17_01	0.840924574209246
ABA	0.3081	0.6919	Petpet_17_01	0.840924574209246
IAA	0.6874	0.3126	Petpet_16_01	0.840924574209246
BRA	0.7062	0.2938	Petpet_16_01	0.840924574209246
stri	0.6971	0.3029	Petpet_16_01	0.840924574209246
SA	0.7177	0.2823	Petpet_16_01	0.840924574209246
Peg	0.6798	0.3202	Petpet_16_01	0.840924574209246
NaCL	0.7131	0.2869	Petpet_16_01	0.840924574209246
Meja	0.7282	0.2718	Petpet_16_01	0.840924574209246
Kin	0.7123	0.2877	Petpet_16_01	0.840924574209246
GA3	0.7243	0.2757	Petpet_16_01	0.840924574209246
ACC	0.7003	0.2997	Petpet_16_01	0.840924574209246
ABA	0.693	0.307	Petpet_16_01	0.840924574209246
IAA	0.2302	0.7698	Petpet_14_01	0.840924574209246
BRA	0.3002	0.6998	Petpet_14_01	0.840924574209246
stri	0.272	0.728	Petpet_14_01	0.840924574209246
SA	0.3482	0.6518	Petpet_14_01	0.840924574209246
