Variable	p_Enrich	p_Deplete	Inversion	p.Adj
Stri	0.301630163016302	0.698369836983698	Petpet_17_03	0.787354838709677
SA	0.3151	0.6849	Petpet_17_03	0.787354838709677
Peg	0.4028	0.5972	Petpet_17_03	0.787354838709677
NaCL	0.3283	0.6717	Petpet_17_03	0.787354838709677
Meja	0.3645	0.6355	Petpet_17_03	0.787354838709677
Kin	0.284	0.716	Petpet_17_03	0.787354838709677
IAA	0.62	0.38	Petpet_17_03	0.788625
GA3	0.2579	0.7421	Petpet_17_03	0.787354838709677
BRA	0.2635	0.7365	Petpet_17_03	0.787354838709677
ACC	0.3497	0.6503	Petpet_17_03	0.787354838709677
ABA	0.3007	0.6993	Petpet_17_03	0.787354838709677
Stri	0.6616	0.3384	Petpet_17_02	0.794517711171662
SA	0.7884	0.2116	Petpet_17_02	0.846624390243903
Peg	0.6605	0.3395	Petpet_17_02	0.794517711171662
NaCL	0.6466	0.3534	Petpet_17_02	0.790419889502762
Meja	0.6	0.4	Petpet_17_02	0.787354838709677
Kin	0.7465	0.2535	Petpet_17_02	0.839793103448276
IAA	0.7132	0.2868	Petpet_17_02	0.821486910994764
GA3	0.7207	0.2793	Petpet_17_02	0.827958224543081
BRA	0.71	0.29	Petpet_17_02	0.81994750656168
ACC	0.7626	0.2374	Petpet_17_02	0.839793103448276
ABA	0.5636	0.4364	Petpet_17_02	0.787354838709677
Stri	0.1585	0.8415	Petpet_17_01	0.787354838709677
SA	0.138	0.862	Petpet_17_01	0.787354838709677
Peg	0.1641	0.8359	Petpet_17_01	0.787354838709677
NaCL	0.1725	0.8275	Petpet_17_01	0.787354838709677
Meja	0.163	0.837	Petpet_17_01	0.787354838709677
Kin	0.1525	0.8475	Petpet_17_01	0.787354838709677
IAA	0.3565	0.6435	Petpet_17_01	0.787354838709677
GA3	0.1582	0.8418	Petpet_17_01	0.787354838709677
BRA	0.1561	0.8439	Petpet_17_01	0.787354838709677
ACC	0.2043	0.7957	Petpet_17_01	0.787354838709677
ABA	0.2398	0.7602	Petpet_17_01	0.787354838709677
Stri	0.4486	0.5514	Petpet_16_01	0.787354838709677
SA	0.4219	0.5781	Petpet_16_01	0.787354838709677
Peg	0.4065	0.5935	Petpet_16_01	0.787354838709677
NaCL	0.4857	0.5143	Petpet_16_01	0.787354838709677
Meja	0.5514	0.4486	Petpet_16_01	0.787354838709677
Kin	0.4376	0.5624	Petpet_16_01	0.787354838709677
IAA	0.6878	0.3122	Petpet_16_01	0.80320424403183
GA3	0.4408	0.5592	Petpet_16_01	0.787354838709677
BRA	0.4348	0.5652	Petpet_16_01	0.787354838709677
ACC	0.555	0.445	Petpet_16_01	0.787354838709677
ABA	0.5512	0.4488	Petpet_16_01	0.787354838709677
Stri	0.1042	0.8958	Petpet_14_01	0.787354838709677
SA	0.1111	0.8889	Petpet_14_01	0.787354838709677
Peg	0.16	0.84	Petpet_14_01	0.787354838709677
NaCL	0.1564	0.8436	Petpet_14_01	0.787354838709677
Meja	0.1187	0.8813	Petpet_14_01	0.787354838709677
Kin	0.0862	0.9138	Petpet_14_01	0.787354838709677
IAA	0.1703	0.8297	Petpet_14_01	0.787354838709677
GA3	0.0927	0.9073	Petpet_14_01	0.787354838709677
BRA	0.0969	0.9031	Petpet_14_01	0.787354838709677
ACC	0.125	0.875	Petpet_14_01	0.787354838709677
ABA	0.172	0.828	Petpet_14_01	0.787354838709677
Stri	0.5906	0.4094	Petpet_13_01	0.787354838709677
SA	0.5779	0.4221	Petpet_13_01	0.787354838709677
Peg	0.5956	0.4044	Petpet_13_01	0.787354838709677
NaCL	0.5873	0.4127	Petpet_13_01	0.787354838709677
Meja	0.5938	0.4062	Petpet_13_01	0.787354838709677
Kin	0.5825	0.4175	Petpet_13_01	0.787354838709677
IAA	0.6469	0.3531	Petpet_13_01	0.790419889502762
