Variable	p_Enrich	p_Deplete	Inversion	p.Adj
Ovary	0.3709	0.6291	Petpet_17_03	0.883606557377049
Root	0.3073	0.6927	Petpet_17_03	0.883606557377049
Leaf	0.2408	0.7592	Petpet_17_03	0.883606557377049
Style	0.7427	0.2573	Petpet_17_03	0.883606557377049
Stem	0.2174	0.7826	Petpet_17_03	0.883606557377049
Stamen	0.4598	0.5402	Petpet_17_03	0.883606557377049
Ligule	0.2308	0.7692	Petpet_17_03	0.883606557377049
Pollen	0.5967	0.4033	Petpet_17_03	0.883606557377049
Corolla	0.73	0.27	Petpet_17_03	0.883606557377049
Bract	0.3595	0.6405	Petpet_17_03	0.883606557377049
Ovary	0.5022	0.4978	Petpet_17_02	0.883606557377049
Root	0.7012	0.2988	Petpet_17_02	0.883606557377049
Leaf	0.5664	0.4336	Petpet_17_02	0.883606557377049
Style	0.6754	0.3246	Petpet_17_02	0.883606557377049
Stem	0.6271	0.3729	Petpet_17_02	0.883606557377049
Stamen	0.6534	0.3466	Petpet_17_02	0.883606557377049
Ligule	0.5615	0.4385	Petpet_17_02	0.883606557377049
Pollen	0.6289	0.3711	Petpet_17_02	0.883606557377049
Corolla	0.7365	0.2635	Petpet_17_02	0.883606557377049
Bract	0.7516	0.2484	Petpet_17_02	0.883606557377049
Ovary	0.1744	0.8256	Petpet_17_01	0.883606557377049
Root	0.1712	0.8288	Petpet_17_01	0.883606557377049
Leaf	0.2888	0.7112	Petpet_17_01	0.883606557377049
Style	0.2144	0.7856	Petpet_17_01	0.883606557377049
Stem	0.1225	0.8775	Petpet_17_01	0.883606557377049
Stamen	0.1763	0.8237	Petpet_17_01	0.883606557377049
Ligule	0.1548	0.8452	Petpet_17_01	0.883606557377049
Pollen	0.3017	0.6983	Petpet_17_01	0.883606557377049
Corolla	0.1866	0.8134	Petpet_17_01	0.883606557377049
Bract	0.1475	0.8525	Petpet_17_01	0.883606557377049
Ovary	0.6306	0.3694	Petpet_16_01	0.883606557377049
Root	0.4932	0.5068	Petpet_16_01	0.883606557377049
Leaf	0.715	0.285	Petpet_16_01	0.883606557377049
Style	0.643	0.357	Petpet_16_01	0.883606557377049
Stem	0.6523	0.3477	Petpet_16_01	0.883606557377049
Stamen	0.7158	0.2842	Petpet_16_01	0.883606557377049
Ligule	0.5894	0.4106	Petpet_16_01	0.883606557377049
Pollen	0.764	0.236	Petpet_16_01	0.883606557377049
Corolla	0.4218	0.5782	Petpet_16_01	0.883606557377049
Bract	0.8187	0.1813	Petpet_16_01	0.889891304347826
Ovary	0.2845	0.7155	Petpet_14_01	0.883606557377049
Root	0.1103	0.8897	Petpet_14_01	0.883606557377049
Leaf	0.2776	0.7224	Petpet_14_01	0.883606557377049
Style	0.2258	0.7742	Petpet_14_01	0.883606557377049
Stem	0.1755	0.8245	Petpet_14_01	0.883606557377049
Stamen	0.4273	0.5727	Petpet_14_01	0.883606557377049
Ligule	0.1451	0.8549	Petpet_14_01	0.883606557377049
Pollen	0.8043	0.1957	Petpet_14_01	0.883606557377049
Corolla	0.3157	0.6843	Petpet_14_01	0.883606557377049
Bract	0.2507	0.7493	Petpet_14_01	0.883606557377049
Ovary	0.6093	0.3907	Petpet_13_01	0.883606557377049
Root	0.592	0.408	Petpet_13_01	0.883606557377049
Leaf	0.601	0.399	Petpet_13_01	0.883606557377049
Style	0.6277	0.3723	Petpet_13_01	0.883606557377049
Stem	0.5743	0.4257	Petpet_13_01	0.883606557377049
Stamen	0.5933	0.4067	Petpet_13_01	0.883606557377049
Ligule	0.5862	0.4138	Petpet_13_01	0.883606557377049
Pollen	0.8396	0.1604	Petpet_13_01	0.902198391420912
Corolla	0.5875	0.4125	Petpet_13_01	0.883606557377049
Bract	0.5921	0.4079	Petpet_13_01	0.883606557377049
Ovary	0.831	0.169	Petpet_12_01	0.900813008130081
Root	0.8123	0.1877	Petpet_12_01	0.885340599455041
Leaf	0.7895	0.2105	Petpet_12_01	0.883606557377049
Style	0.9729	0.0271	Petpet_12_01	0.982727272727273
Stem	0.8552	0.1448	Petpet_12_01	0.911063829787234
Stamen	0.8413	0.1587	Petpet_12_01	0.902198391420912
Ligule	0.9973	0.0027	Petpet_12_01	0.9993
Pollen	0.6937	0.3063	Petpet_12_01	0.883606557377049
Corolla	0.996	0.004	Petpet_12_01	0.9993
Bract	0.9714	0.0286	Petpet_12_01	0.982727272727273
Ovary	0.6049	0.3951	Petpet_11_01	0.883606557377049
Root	0.5983	0.4017	Petpet_11_01	0.883606557377049
Leaf	0.5266	0.4734	Petpet_11_01	0.883606557377049
Style	0.5891	0.4109	Petpet_11_01	0.883606557377049
Stem	0.5997	0.4003	Petpet_11_01	0.883606557377049
Stamen	0.6695	0.3305	Petpet_11_01	0.883606557377049
Ligule	0.4968	0.5032	Petpet_11_01	0.883606557377049
Pollen	0.689	0.311	Petpet_11_01	0.883606557377049
Corolla	0.4838	0.5162	Petpet_11_01	0.883606557377049
Bract	0.5059	0.4941	Petpet_11_01	0.883606557377049
Ovary	0.7106	0.2894	Petpet_09_01	0.883606557377049
Root	0.5122	0.4878	Petpet_09_01	0.883606557377049
Leaf	0.6437	0.3563	Petpet_09_01	0.883606557377049
Style	0.6354	0.3646	Petpet_09_01	0.883606557377049
Stem	0.638	0.362	Petpet_09_01	0.883606557377049
Stamen	0.8085	0.1915	Petpet_09_01	0.883606557377049
Ligule	0.6415	0.3585	Petpet_09_01	0.883606557377049
Pollen	0.8058	0.1942	Petpet_09_01	0.883606557377049
Corolla	0.7525	0.2475	Petpet_09_01	0.883606557377049
Bract	0.6515	0.3485	Petpet_09_01	0.883606557377049
Ovary	0.6397	0.3603	Petpet_07_01	0.883606557377049
Root	0.4849	0.5151	Petpet_07_01	0.883606557377049
Leaf	0.6296	0.3704	Petpet_07_01	0.883606557377049
Style	0.496	0.504	Petpet_07_01	0.883606557377049
Stem	0.4955	0.5045	Petpet_07_01	0.883606557377049
Stamen	0.9109	0.0891	Petpet_07_01	0.93425641025641
Ligule	0.4785	0.5215	Petpet_07_01	0.883606557377049
Pollen	0.8879	0.1121	Petpet_07_01	0.927310704960836
Corolla	0.6851	0.3149	Petpet_07_01	0.883606557377049
Bract	0.5408	0.4592	Petpet_07_01	0.883606557377049
Ovary	0.0623	0.9377	Petpet_06_02	0.883606557377049
Root	0.006	0.994	Petpet_06_02	0.8
Leaf	0.0163	0.9837	Petpet_06_02	0.883606557377049
Style	0.0299	0.9701	Petpet_06_02	0.883606557377049
Stem	0.0042	0.9958	Petpet_06_02	0.8
Stamen	0.066	0.934	Petpet_06_02	0.883606557377049
Ligule	0.0106	0.9894	Petpet_06_02	0.883606557377049
Pollen	0.2618	0.7382	Petpet_06_02	0.883606557377049
Corolla	0.0469	0.9531	Petpet_06_02	0.883606557377049
Bract	0.0039	0.9961	Petpet_06_02	0.8
Ovary	0.3606	0.6394	Petpet_06_01	0.883606557377049
Root	0.2208	0.7792	Petpet_06_01	0.883606557377049
Leaf	0.2016	0.7984	Petpet_06_01	0.883606557377049
Style	0.5788	0.4212	Petpet_06_01	0.883606557377049
Stem	0.2853	0.7147	Petpet_06_01	0.883606557377049
Stamen	0.5578	0.4422	Petpet_06_01	0.883606557377049
Ligule	0.1895	0.8105	Petpet_06_01	0.883606557377049
Pollen	0.7174	0.2826	Petpet_06_01	0.883606557377049
Corolla	0.4104	0.5896	Petpet_06_01	0.883606557377049
Bract	0.4454	0.5546	Petpet_06_01	0.883606557377049
Ovary	0.5702	0.4298	Petpet_05_01	0.883606557377049
Root	0.4329	0.5671	Petpet_05_01	0.883606557377049
Leaf	0.495	0.505	Petpet_05_01	0.883606557377049
Style	0.4916	0.5084	Petpet_05_01	0.883606557377049
Stem	0.4081	0.5919	Petpet_05_01	0.883606557377049
Stamen	0.7332	0.2668	Petpet_05_01	0.883606557377049
Ligule	0.4948	0.5052	Petpet_05_01	0.883606557377049
Pollen	0.8686	0.1314	Petpet_05_01	0.92
Corolla	0.595	0.405	Petpet_05_01	0.883606557377049
Bract	0.4504	0.5496	Petpet_05_01	0.883606557377049
Ovary	0.191	0.809	Petfal_17_02	0.883606557377049
Root	0.1023	0.8977	Petfal_17_02	0.883606557377049
Leaf	0.1319	0.8681	Petfal_17_02	0.883606557377049
Style	0.3847	0.6153	Petfal_17_02	0.883606557377049
Stem	0.0899	0.9101	Petfal_17_02	0.883606557377049
Stamen	0.2032	0.7968	Petfal_17_02	0.883606557377049
Ligule	0.0779	0.9221	Petfal_17_02	0.883606557377049
Pollen	0.4461	0.5539	Petfal_17_02	0.883606557377049
Corolla	0.3627	0.6373	Petfal_17_02	0.883606557377049
Bract	0.1588	0.8412	Petfal_17_02	0.883606557377049
Ovary	0.1513	0.8487	Petfal_17_01	0.883606557377049
Root	0.1492	0.8508	Petfal_17_01	0.883606557377049
Leaf	0.2467	0.7533	Petfal_17_01	0.883606557377049
Style	0.1719	0.8281	Petfal_17_01	0.883606557377049
Stem	0.0989	0.9011	Petfal_17_01	0.883606557377049
Stamen	0.1426	0.8574	Petfal_17_01	0.883606557377049
Ligule	0.1246	0.8754	Petfal_17_01	0.883606557377049
Pollen	0.2831	0.7169	Petfal_17_01	0.883606557377049
Corolla	0.1601	0.8399	Petfal_17_01	0.883606557377049
Bract	0.1249	0.8751	Petfal_17_01	0.883606557377049
Ovary	0.532853285328533	0.467146714671467	Petfal_16_01	0.883606557377049
Root	0.6201	0.3799	Petfal_16_01	0.883606557377049
Leaf	0.7446	0.2554	Petfal_16_01	0.883606557377049
Style	0.5094	0.4906	Petfal_16_01	0.883606557377049
Stem	0.6189	0.3811	Petfal_16_01	0.883606557377049
Stamen	0.5131	0.4869	Petfal_16_01	0.883606557377049
Ligule	0.4903	0.5097	Petfal_16_01	0.883606557377049
Pollen	0.7734	0.2266	Petfal_16_01	0.883606557377049
Corolla	0.4438	0.5562	Petfal_16_01	0.883606557377049
Bract	0.549	0.451	Petfal_16_01	0.883606557377049
Ovary	0.4114	0.5886	Petfal_14_01	0.883606557377049
Root	0.3168	0.6832	Petfal_14_01	0.883606557377049
Leaf	0.5131	0.4869	Petfal_14_01	0.883606557377049
Style	0.414841484148415	0.585158515851585	Petfal_14_01	0.883606557377049
Stem	0.3993	0.6007	Petfal_14_01	0.883606557377049
Stamen	0.3922	0.6078	Petfal_14_01	0.883606557377049
Ligule	0.3435	0.6565	Petfal_14_01	0.883606557377049
Pollen	0.575	0.425	Petfal_14_01	0.883606557377049
Corolla	0.4471	0.5529	Petfal_14_01	0.883606557377049
Bract	0.4492	0.5508	Petfal_14_01	0.883606557377049
Ovary	0.6025	0.3975	Petfal_11_01	0.883606557377049
Root	0.607	0.393	Petfal_11_01	0.883606557377049
