Homolog	Inverted	Non_Inverted	Expected	Fisher_p	Haploblock	p.adj	Annot
AT2G38320	3	8	0.0255641352425219	1.97802202310151e-06	ANN_01_01	7.5737422200334e-06	Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).TBL34 are required only for xylan 3-O-monoacetylation and 2,3-di-O-acetylation. This biochemical phenotype can be observed in tbl34 esk1, double mutant and tbl34 tbl35 esk1 triple mutants.
AT1G73880	3	1	0.0567758702551416	1.1258565806539e-05	ANN_05_01	3.18081810650763e-05	UDP-glucosyl transferase 89B1;(source:Araport11)
AT1G73990	4	1	0.070969837818927	1.98576666643765e-07	ANN_05_01	1.03188946416671e-06	Encodes a putative protease SppA (SppA).
AT1G75490	3	2	0.070969837818927	2.7848549516382e-05	ANN_05_01	6.69746108203897e-05	NA
AT3G48090	3	1	0.0567758702551416	1.1258565806539e-05	ANN_05_01	3.18081810650763e-05	Component of R gene-mediated disease resistance in Arabidopsis thaliana with homology to eukaryotic lipases.
AT3G48280	6	21	0.383237124222206	1.82969517047763e-06	ANN_05_01	7.09921726145322e-06	putative cytochrome P450
AT3G48770	6	0	0.0851638053827123	7.96671731974935e-12	ANN_05_01	1.10395940002241e-10	ATP/DNA binding protein;(source:Araport11)
AT3G61440	3	2	0.070969837818927	2.7848549516382e-05	ANN_05_01	6.69746108203897e-05	Encodes a cysteine synthase isomer CysC1. The isomer is however less effective in cysteine biosynthesis. It is involved in beta-cyanoalanine biosynthesis, an intermediate of cyanide detoxification pathway. The mRNA is cell-to-cell mobile.
AT4G12300	3	22	0.354849189094635	0.00518573229635759	ANN_05_01	0.00571609128121234	member of CYP706A
AT4G27420	5	0	0.070969837818927	5.66188798219915e-10	ANN_05_01	5.68141173386191e-09	ABC-2 type transporter family protein;(source:Araport11)
